halId_s,uri_s,title_s,authFullName_s,producedDate_s,producedDateY_i,journalTitle_s,conferenceTitle_s,country_s
hal-04131591,https://hal.science/hal-04131591v1,MORFITT : Un corpus multi-labels d'articles scientifiques français dans le domaine biomédical,"Yanis Labrak,Mickael Rouvier,Richard Dufour",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-04131590,https://hal.science/hal-04131590v1,Projet NaviTerm : navigation terminologique pour une montée en compétence rapide et personnalisée sur un domaine de recherche,"Florian Boudin,Richard Dufour,Béatrice Daille",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-04131586,https://hal.science/hal-04131586v1,Tâches et systèmes de détection automatique des réponses correctes dans des QCMs liés au domaine médical : Présentation de la campagne DEFT 2023,"Yanis Labrak,Adrien Bazoge,Béatrice Daille,Richard Dufour,Emmanuel Morin,Mickael Rouvier",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-04130218,https://hal.science/hal-04130218v1,HATS : Un jeu de données intégrant la perception humaine appliquée à l'évaluation des métriques de transcription de la parole,"Thibault Bañeras-Roux,Jane Wottawa,Mickael Rouvier,Teva Merlin,Richard Dufour",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-04130214,https://hal.science/hal-04130214v1,DrBERT: Un modèle robuste pré-entraîné en français pour les domaines biomédical et clinique,"Yanis Labrak,Adrien Bazoge,Richard Dufour,Mickael Rouvier,Emmanuel Morin,Béatrice Daille,Pierre-Antoine Gourraud",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-03959383,https://hal.science/hal-03959383v1,A Large-Scale Dataset for Biomedical Keyphrase Generation,"Mael Houbre,Florian Boudin,Beatrice Daille",2022-12-07,2022,,13th International Workshop on Health Text Mining and Information Analysis (LOUHI 2022),ae
hal-03913329,https://hal.science/hal-03913329v1,"FrenchMedMCQA: A French Multiple-Choice Question Answering Dataset for Medical domain,FrenchMedMCQA : Un jeu de données de questions à choix multiple en français pour le domaine médical","Yanis Labrak,Adrien Bazoge,Richard Dufour,Béatrice Daille,Pierre‐antoine Gourraud,Emmanuel Morin,Mickaël Rouvier",2022-12-07,2022,,Empirical Methods in Natural Language Processing 2022,ae
hal-03824241,https://hal.science/hal-03824241v2,FrenchMedMCQA: A French Multiple-Choice Question Answering Dataset for Medical domain,"Yanis Labrak,Adrien Bazoge,Richard Dufour,Béatrice Daille,Pierre-Antoine Gourraud,Emmanuel Morin,Mickael Rouvier",2022-12-07,2022,,LOUHI 2022 @ Empirical Methods in Natural Language Processing (EMNLP) 2022,ae
hal-03832543,https://hal.science/hal-03832543v1,Traitement du langage et modélisation de relations pour la représentation unifiée de documents narratifs,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2022-11-16,2022,,Meetup LIAvignon,fr
hal-03857928,https://hal.science/hal-03857928v1,Abusive Language Detection in Online Conversations by Combining Content- and Graph-based Features,"Noé Cecillon,Vincent Labatut,Richard Dufour",2022-11-15,2022,,Meetup LIAvignon,fr
hal-03882497,https://hal.science/hal-03882497v2,Linking Biomedical Data Warehouse Records With the National Mortality Database in France: Large-scale Matching Algorithm,"Vianney Guardiolle,Adrien Bazoge,Emmanuel Morin,Béatrice Daille,Delphine Toublant,Guillaume Bouzillé,Youenn Merel,Morgane Pierre-Jean,Alexandre Filiot,Marc Cuggia,Matthieu Wargny,Antoine Lamer,Pierre‐antoine Gourraud",2022-11-01,2022,JMIR Medical Informatics,,
hal-03712735,https://hal.science/hal-03712735v2,Qualitative Evaluation of Language Model Rescoring in Automatic Speech Recognition,"Thibault Bañeras Roux,Mickael Rouvier,Jane Wottawa,Richard Dufour",2022-09-18,2022,,Interspeech,kr
hal-03696042,https://hal.science/hal-03696042v2,ANTILLES: An Open French Linguistically Enriched Part-of-Speech Corpus,"Yanis Labrak,Richard Dufour",2022-09-06,2022,,"25th International Conference on Text, Speech and Dialogue (TSD)",cz
hal-03705875,https://hal.science/hal-03705875v1,"Correction automatique d'examens écrits par approche neuronale profonde et attention croisée bidirectionnelle,Deep Neural Networks and Bidirectional Cross-Attention for Automatic Answer Grading","Yanis Labrak,Philippe Turcotte,Richard Dufour,Mickael Rouvier",2022-06-27,2022,,Actes de la 29e Conférence sur le Traitement Automatique des Langues Naturelles. Atelier DÉfi Fouille de Textes (DEFT),fr
hal-03701512,https://hal.science/hal-03701512v1,Adaptation au domaine de modèles de langue à l'aide de réseaux à base de graphes,"Merieme Bouhandi,Emmanuel Morin,Thierry Hamon",2022-06-27,2022,,Traitement Automatique des Langues Naturelles (TALN 2022),fr
hal-03694362,https://hal.science/hal-03694362v1,Correction automatique d'examens écrits par approche neuronale profonde et attention croisée bidirectionnelle,"Yanis Labrak,Philippe Turcotte,Richard Dufour,Mickael Rouvier",2022-06-27,2022,,DEFT - Traitement Automatique des Langues Naturelles,fr
hal-03688029,https://hal.science/hal-03688029v2,Mesures linguistiques automatiques pour l'évaluation des systèmes de Reconnaissance Automatique de la Parole,"Thibault Bañeras Roux,Mickael Rouvier,Jane Wottawa,Richard Dufour",2022-06-27,2022,,29ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN),fr
hal-03687871,https://hal.science/hal-03687871v1,"Intégration incrémentale de contraintes pour le clustering avec la programmation par contraintes,Incremental constraint integration for clustering using constraint programming","Aymeric Beauchamp,Thi-Bich-Hanh Dao,Samir Loudni,Christel Vrain",2022-06-27,2022,,Journées Francophones de Programmation par Contraintes (Evènement affilié à PFIA 2022),fr
hal-03651510,https://hal.science/hal-03651510v3,Remplacement de mentions pour l'adaptation d'un corpus de reconnaissance d'entités nommées à un domaine cible,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2022-06-27,2022,,29ème Conférence sur le Traitement Automatique des Langues Naturelles (TALN),fr
hal-03867489,https://hal.science/hal-03867489v1,Overview of the 2022 BUCC Shared Task: Bilingual Term Alignment in Comparable Specialized Corpora,"Omar Adjali,Emmanuel Morin,Serge Sharoff,Reinhard Rapp,Pierre Zweigenbaum",2022-06-25,2022,,"BUCC, 15th Workshop on Building and Using Comparable Corpora",fr
hal-03667294,https://hal.science/hal-03667294v1,Open corpora and toolkit for assessing text readability in French,"Nicolas Hernandez,Tristan Faine,Nabil Oulbaz",2022-06-24,2022,,LREC Workshop 2nd Workshop on Tools and Resources for People with REAding DIfficulties (READI),fr
hal-04006074,https://hal.science/hal-04006074v1,Cross-lingual and Cross-domain Transfer Learning for Automatic Term Extraction from Low Resource Data,"Amir Hazem,Mériem Bouhandi,Florian Boudin,Béatrice Daille",2022-06-20,2022,,Language Resources and Evaluation Conference,fr
hal-03803881,https://hal.science/hal-03803881v1,Building Comparable Corpora for Assessing Multi-Word Term Alignment,"Omar Adjali,Emmanuel Morin,Pierre Zweigenbaum",2022-06-20,2022,,LREC 2022 - Language Resources and Evaluation Conference,fr
hal-03972448,https://hal.science/hal-03972448v1,Data Augmentation for Robust Character Detection in Fantasy Novels,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2022-06-09,2022,,Workshop on Computational Methods in the Humanities 2022,ch
hal-03617722,https://hal.science/hal-03617722v2,BERT meets d'Artagnan: Data Augmentation for Robust Character Detection in Novels,"Arthur Amalvy,Vincent Labatut,Richard Dufour",2022-06-09,2022,,Workshop on Computational Methods in the Humanities (COMHUM),ch
hal-03903545,https://hal.science/hal-03903545v1,Iterated Dependencies in a Breton treebank and implications for a Categorial Dependency Grammar,"Annie Foret,Denis Béchet,Valérie Bellynck",2022-06,2022,,Proceedings of the 4th Celtic Language Technology Workshop within LREC2022,fr
hal-03667269,https://nantes-universite.hal.science/hal-03667269v1,Exploring the Limits of Lexicon-based Natural Language Processing Techniques for Measuring Engagement and Predicting MOOC’s Certification,"Esther Félix,Nicolas Hernandez,Issam Rebaï",2022-04-22,2022,,CSEDU 2022: 14th International Conference on Computer Supported Education,fr
hal-03675070,https://hal.science/hal-03675070v1,From Fundamentals to Recent Advances: A Tutorial on Keyphrasification,"Rui Meng,Debanjan Mahata,Florian Boudin",2022-04-10,2022,,44th European Conference on Information Retrieval,no
hal-03946132,https://hal.science/hal-03946132v1,Actes de la 3ème journée : Technologies du langage humain et accès interactif à l'information (avril 2022),"Benjamin Piwowarski,Florian Boudin,Gaël Dias,Jean-Pierre Chevallet,Jose G. Moreno,Mathieu Roche,Thierry Charnois",2022-04,2022,,3ème journée : Technologies du langage humain et accès interactif à l'information (2022),
tel-03667015,https://hal.science/tel-03667015v1,"Indexation de bout-en-bout dans les bibliothèques numériques scientifiques,End-to-end indexation in digital scientific libraries",Ygor Gallina,2022-03-28,2022,,,
hal-03767225,https://hal.science/hal-03767225v1,Multi-label classification for biomedical literature: an overview of the BioCreative VII LitCovid Track for COVID-19 literature topic annotations,"Qingyu Chen,Alexis Allot,Robert Leaman,Rezarta Islamaj,Jingcheng Du,Li Fang,Kai Wang,Shuo Xu,Yuefu Zhang,Parsa Bagherzadeh,Sabine Bergler,Aakash Bhatnagar,Nidhir Bhavsar,Yung-Chun Chang,Sheng-Jie Lin,Wentai Tang,Hongtong Zhang,Ilija Tavchioski,Senja Pollak,Shubo Tian,Jinfeng Zhang,Yulia Otmakhova,Antonio Jimeno Yepes,Hang Dong,Honghan Wu,Richard Dufour,Yanis Labrak,Niladri Chatterjee,Kushagri Tandon,Fréjus Laleye,Loïc Rakotoson,Emmanuele Chersoni,Jinghang Gu,Annemarie Friedrich,Subhash Chandra Pujari,Mariia Chizhikova,Naveen Sivadasan,Saipradeep Vg,Zhiyong Lu",2022-01-01,2022,Database - The journal of Biological Databases and Curation,,
hal-03477787,https://hal.science/hal-03477787v1,Extraction and evaluation of formulaic expressions used in scholarly papers,"Kenichi Iwatsuki,Florian Boudin,Akiko Aizawa",2022-01,2022,Expert Systems with Applications,,
hal-03527581,https://hal.science/hal-03527581v1,Categorial Dependency Grammars: Analysis and Learning (Invited Talk),"Denis Béchet,Annie Foret",2021-12-15,2021,,Logic and Algorithms in Computational Linguistics 2021 (LACompLing2021),fr
hal-03426326,https://hal.science/hal-03426326v1,Team LIA/LS2N at BioCreative VII LitCovid Track: Multi-label Document Classification for COVID-19 Literature using Keyword Based Enhancement and Few-Shot Learning,"Yanis Labrak,Richard Dufour",2021-11-08,2021,,BioCreative VII Challenge Evaluation Workshop,us
